Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,20:51,8,Williams,Shot,93,59,117,42,Right,Off Target,,,,,,,100,8
Andover New Street,21:26,3,Quashie,Air Duel,50,29,0,0,,Won,,,,,,,,
Andover New Street,21:29,4,Carswell,Head Pass,44,39,57,51,,Complete,,,,,,,,
Andover New Street,21:30,6,Thatcher,Air Duel,55,49,0,0,,Lost,,,,,,,,
Andover New Street,21:31,4,Carswell,Head Pass,48,50,66,45,,Complete,,,,,,,,
Andover New Street,21:35,8,Williams,Offensive Duel,64,40,0,0,,Won,,,,,,,,
Andover New Street,22:09,7,Locker,Free Kick,77,27,103,48,,,,,,,,,,
Andover New Street,22:13,5,Scott,Cross,95,69,105,42,Right,,,,,,,,,
Andover New Street,22:19,6,Thatcher,Head Pass,45,56,18,51,,Complete,,,,,,,,
Andover New Street,22:27,1,Fredricks,Free Kick,17,52,78,67,,,,,,,,,,
Andover New Street,22:31,2,Kaba,Air Duel,80,58,0,0,,Won,,,,,,,,
Andover New Street,22:33,11,Taylor Kelly,Pressure,98,64,0,0,,,,,,,,,,
Andover New Street,22:50,2,Kaba,Throw In,98,78,99,68,,Complete,,,,,,,,
Andover New Street,22:51,8,Williams,Pass,97,68,105,76,,Complete,,,,,,,,
Andover New Street,22:52,2,Kaba,Pass,100,75,93,68,,Complete,,,,,,,,
Andover New Street,22:54,8,Williams,Cross,95,69,109,43,Right,,,true,,,,,,
Andover New Street,22:56,10,Hibberd,Shot,109,41,117,37,Header,Goal,,,,,,,16,75
Andover New Street,23:59,3,Quashie,Head Pass,26,21,40,2,,,,,,true,,,,
Andover New Street,24:11,3,Quashie,Defensive Duel,35,15,0,0,,,,,,,,,,
Andover New Street,24:13,3,Quashie,Interception,24,9,0,0,,,,,,,,,,
Andover New Street,24:14,7,Locker,Pass,26,21,43,10,,Complete,,,,,,,,
Andover New Street,24:18,10,Hibberd,Pass,51,10,84,13,,Complete,,,,,,,,
Andover New Street,24:20,8,Williams,Carry,88,8,105,23,,Complete,,,,,,,,
