Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Punjab FC,54:43:00,5,Suraj Murmu,Air Duel,43,12,0,0,,,,,,,,,
Punjab FC,54:47:00,5,Suraj Murmu,Head Pass,38,14,33,1,,,,,,TRUE,,,
Punjab FC,54:59:00,4,Shubham Poonia,Defensive Duel,17,23,0,0,,,,,,,,,
Punjab FC,55:03:00,4,Shubham Poonia,Pass,19,25,3,10,,,,,,TRUE,,,
Punjab FC,55:25:00,4,Shubham Poonia,Pass,24,15,28,5,,,,,,TRUE,,,
Punjab FC,55:37:00,4,Shubham Poonia,Defensive Duel,12,14,0,0,,,,,,,,,
Punjab FC,55:51:00,4,Shubham Poonia,Free Kick,18,10,18,10,,,,,,,,,
Punjab FC,55:53:00,1,Aadil,Pass,18,30,17,7,,Complete,,,,,,,
Punjab FC,55:56:00,4,Shubham Poonia,Pass,17,14,31,10,,Complete,,,,,,,
Punjab FC,55:58:00,5,Suraj Murmu,Pass,30,14,48,16,,Incomplete,,,,,,,
Punjab FC,56:02:00,11,Thogbam singh,Pass,46,14,46,4,,,,,,TRUE,,,
Punjab FC,56:11:00,5,Suraj Murmu,Air Duel,30,13,0,0,,,,,,,,,
Punjab FC,56:21:00,5,Suraj Murmu,Throw In,22,5,22,5,,,,,,,,,
Punjab FC,56:27:00,4,Shubham Poonia,Long Kick,15,13,32,71,,Incomplete,,,,,,,
Punjab FC,57:03:00,4,Shubham Poonia,Goal Kick,7,35,7,35,,,,,,,,,
Punjab FC,57:13:00,4,Shubham Poonia,Defensive Duel,28,32,0,0,,Lost,,,,,,,
Punjab FC,57:42:00,9,Gunleiba Wangkheirakpam,Pass,59,41,51,41,,Complete,,,,,,,
Punjab FC,57:43:00,6,Khuraijam Meetei,Long Kick,55,37,79,22,,Incomplete,,,,,,,
Punjab FC,57:49:00,11,Thogbam singh,Defensive Duel,71,11,0,0,,Lost,,,,,,,
Punjab FC,57:51:00,5,Suraj Murmu,LBD,46,12,0,0,,,,,,,,,
Punjab FC,57:55:00,11,Thogbam singh,Defensive Duel,41,14,0,0,,,,,,,,,
Punjab FC,58:01:00,5,Suraj Murmu,Defensive Duel,22,9,0,0,,,,,,,,,
Punjab FC,58:03:00,5,Suraj Murmu,Offensive Duel,17,9,0,0,,,,,,,,,
Punjab FC,58:07:00,5,Suraj Murmu,Pass,17,7,15,26,,Complete,,,,,,,
Punjab FC,58:08:00,4,Shubham Poonia,Long Kick,17,27,43,60,,,,,,TRUE,,,
Punjab FC,58:22:00,18,Naorem Singh,Pass,25,68,61,54,,Complete,,,,,,,
Punjab FC,58:26:00,22,Mahesh Meitei,Offensive Duel,74,64,0,0,,,,,,,,,
Punjab FC,58:37:00,22,Mahesh Meitei,Pressure,81,37,0,0,,,,,,,,,
Punjab FC,58:39:00,14,Wangkheirakpam Meitei,Pressure,78,26,0,0,,,,,,,,,
Punjab FC,58:45:00,5,Suraj Murmu,Defensive Duel,42,22,0,0,,Lost,,,,,,,
Punjab FC,58:46:00,4,Shubham Poonia,Pass,30,25,35,5,,,,,,TRUE,,,
Punjab FC,59:15:00,1,Aadil,Long Kick,13,32,87,31,,,,,TRUE,,,,
Punjab FC,59:22:00,8,Samuel Haokip,Air Duel,70,30,0,0,,,,,,,,,
