Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva,50:48:00,10,Thangboisat Chongloi,Defensive Duel,13,70,0,0,,Lost,,,,,,,
Sudeva,50:55:00,21,Samir Thapa,Save,3,39,0,0,Left,Saved,,,,,,,Right
Sudeva,51:04:00,21,Samir Thapa,Long Kick,6,39,86,16,,,,,,TRUE,,,
Sudeva,51:14:00,20,Eddie Zothanmawia,Pass,60,40,40,45,,Complete,,,,,,,
Sudeva,51:19:00,7,Oinam Nirmal Meitei,Pass,42,46,32,27,,Complete,,,,,,,
Sudeva,51:22:00,25,Leishangthem Donaroy Singh,Long Kick,37,39,78,27,,Incomplete,,,,,,,
Sudeva,51:32:00,6,Irfan Ahmad Mir,Pass,26,23,45,15,,Complete,,,,,,,
Sudeva,51:35:00,12,R Aarya Krishna,Offensive Duel,39,18,0,0,,,,,,,,,
Sudeva,52:02:00,25,Leishangthem Donaroy Singh,Free Kick,32,19,93,30,,,,,,,,,
Sudeva,52:08:00,12,R Aarya Krishna,Head Pass,69,15,45,16,,Complete,,,,,,,
Sudeva,52:09:00,12,R Aarya Krishna,Interception,67,16,0,0,,,,,,,,,
Sudeva,52:10:00,25,Leishangthem Donaroy Singh,Long Kick,50,19,79,11,,Complete,,,,,,,
Sudeva,52:12:00,7,Oinam Nirmal Meitei,Air Duel,72,14,0,0,,Lost,,,,,,,
Sudeva,52:23:00,6,Irfan Ahmad Mir,Throw In,66,2,44,10,,,,,,,,,
Sudeva,52:27:00,25,Leishangthem Donaroy Singh,Pass,39,15,39,46,,Complete,,,,,,,
Sudeva,52:30:00,2,Sagar Patra,Pass,38,42,58,55,,Incomplete,,,,,,,
Sudeva,52:47:00,21,Samir Thapa,Goal Kick,6,34,10,21,,,,,,,,,
Sudeva,52:51:00,25,Leishangthem Donaroy Singh,Pass,12,22,19,6,,Complete,,,,,,,
Sudeva,52:54:00,6,Irfan Ahmad Mir,Pass,16,9,25,10,,Incomplete,,,,,,,
Sudeva,52:59:00,25,Leishangthem Donaroy Singh,Pass,10,14,8,36,,Complete,,,,,,,
Sudeva,53:01:00,21,Samir Thapa,Long Kick,6,36,16,1,,Incomplete,,,,,,,
Sudeva,53:14:00,6,Irfan Ahmad Mir,Defensive Duel,5,7,0,0,,Lost,,,,,TRUE,,
Sudeva,53:26:00,21,Samir Thapa,Goal Kick,5,36,9,20,,,,,,,,,
Sudeva,53:29:00,25,Leishangthem Donaroy Singh,Pass,8,20,13,5,,Complete,,,,,,,
Sudeva,53:31:00,6,Irfan Ahmad Mir,Pass,10,7,12,14,,Incomplete,,,,,,,
Sudeva,53:38:00,6,Irfan Ahmad Mir,Throw In,8,1,10,13,,,,,,,,,
Sudeva,53:40:00,25,Leishangthem Donaroy Singh,Long Kick,9,11,36,36,,Incomplete,,,,,,,
Sudeva,54:01:00,21,Samir Thapa,Long Kick,17,49,61,72,,Incomplete,,,,,,,
Sudeva,54:25:00,4,Moirangthem Manithoiba,Defensive Duel,51,76,0,0,,,,,,,,,
Sudeva,54:31:00,4,Moirangthem Manithoiba,Throw In,55,79,43,71,,,,,,,,,
Sudeva,54:33:00,2,Sagar Patra,Touch,44,74,0,0,,Bad,,,,,,,
Sudeva,54:35:00,2,Sagar Patra,Defensive Duel,47,70,0,0,,,,,,,,,
Sudeva,54:44:00,25,Leishangthem Donaroy Singh,Interception,13,54,0,0,,,,,,,,,
Sudeva,54:49:00,21,Samir Thapa,Save,5,41,0,0,,Saved,,,,,,,Bottom
Sudeva,54:52:00,21,Samir Thapa,Hand Pass,6,39,30,21,,Complete,,,,,,,
Sudeva,54:55:00,12,R Aarya Krishna,Pass,27,22,42,33,,Incomplete,,,,,,,
Sudeva,55:02:00,12,R Aarya Krishna,Pressure,36,24,0,0,,,,,,,,,
Sudeva,55:06:00,12,R Aarya Krishna,Interception,34,14,0,0,,,,,,,,,
Sudeva,55:10:00,12,R Aarya Krishna,Pass,33,15,25,21,,Complete,,,,,,,
Sudeva,55:12:00,25,Leishangthem Donaroy Singh,Pass,23,21,37,14,,Complete,,,,,,,
Sudeva,55:13:00,12,R Aarya Krishna,Pass,31,21,44,15,,Incomplete,,,,,,,
Sudeva,55:17:00,12,R Aarya Krishna,Defensive Duel,43,17,0,0,,Lost,,,,,TRUE,,
Sudeva,55:22:00,11,Mayengbam Lanchenba,Touch,38,28,0,0,,Bad,,,,,,,
Sudeva,55:29:00,4,Moirangthem Manithoiba,Defensive Duel,29,68,0,0,,Lost,,,,,TRUE,,
Sudeva,55:29:00,10,Thangboisat Chongloi,Defensive Duel,33,61,0,0,,,,,,,,,
Sudeva,55:31:00,7,Oinam Nirmal Meitei,Offensive Duel,38,56,0,0,,,,,,,,,
Sudeva,55:50:00,2,Sagar Patra,Free Kick,38,54,76,12,,,,,,,,,
Sudeva,55:53:00,12,R Aarya Krishna,Pass,79,20,47,14,,Complete,,,,,,,
Sudeva,55:55:00,6,Irfan Ahmad Mir,Pass,51,17,38,36,,Complete,,,,,,,
Sudeva,55:59:00,25,Leishangthem Donaroy Singh,Long Kick,37,27,69,67,,,,,,,,,
Sudeva,56:05:00,10,Thangboisat Chongloi,Pass,62,65,69,77,,Complete,,,,,,,
Sudeva,56:12:00,4,Moirangthem Manithoiba,Offensive Duel,71,76,0,0,,Lost,,,,,TRUE,,
Sudeva,56:13:00,4,Moirangthem Manithoiba,Defensive Duel,87,75,0,0,,,,,,,,,
Sudeva,56:18:00,4,Moirangthem Manithoiba,Foul,84,75,0,0,,,,,,,,,
Sudeva,56:38:00,2,Sagar Patra,Air Duel,53,71,0,0,,Won,,,,,,,
Sudeva,56:48:00,6,Irfan Ahmad Mir,Long Kick,27,35,35,78,,,,,,TRUE,,,
Sudeva,56:53:00,2,Sagar Patra,Pass,29,76,48,64,,Complete,,,,,,,
Sudeva,56:57:00,10,Thangboisat Chongloi,Pass,44,74,43,59,,Complete,,,,,,,
Sudeva,56:58:00,7,Oinam Nirmal Meitei,Offensive Duel,44,64,0,0,,,,,,,,,
Sudeva,57:06:00,6,Irfan Ahmad Mir,Pass,28,28,49,33,,Complete,,,,,,,
Sudeva,57:06:00,6,Irfan Ahmad Mir,Interception,30,25,0,0,,,,,,,,,
Sudeva,57:08:00,11,Mayengbam Lanchenba,Pass,45,28,47,13,,Incomplete,,,,,,,
Sudeva,57:17:00,20,Eddie Zothanmawia,Pressure,82,22,0,0,,,,,,,,,
Sudeva,57:26:00,4,Moirangthem Manithoiba,Interception,67,73,0,0,,,,,,,,,
Sudeva,57:27:00,4,Moirangthem Manithoiba,Pass,65,74,78,63,,Complete,,,,,,,
Sudeva,57:27:00,10,Thangboisat Chongloi,Touch,69,74,0,0,,Bad,,,,,,,
Sudeva,57:40:00,10,Thangboisat Chongloi,Defensive Duel,12,59,0,0,,Lost,,,,,TRUE,,
Sudeva,57:51:00,21,Samir Thapa,Free Kick,6,25,10,9,,,,,,,,,
Sudeva,57:55:00,6,Irfan Ahmad Mir,Pass,14,12,32,26,,Complete,,,,,,,
Sudeva,57:56:00,25,Leishangthem Donaroy Singh,Touch,33,22,0,0,,Bad,,,,,,,
Sudeva,57:58:00,11,Mayengbam Lanchenba,LBD,33,17,0,0,,,,,,,,,
Sudeva,58:12:00,25,Leishangthem Donaroy Singh,Free Kick,30,17,44,43,,,,,,,,,
Sudeva,58:16:00,10,Thangboisat Chongloi,Long Kick,34,33,50,72,,Complete,,,,,,,
Sudeva,58:18:00,4,Moirangthem Manithoiba,Carry,47,70,68,68,,,,,,,,,
Sudeva,58:22:00,4,Moirangthem Manithoiba,Long Kick,67,72,84,59,,Incomplete,,,,,,,
Sudeva,58:27:00,10,Thangboisat Chongloi,Pass,69,54,83,30,,Incomplete,,,,,,,
Sudeva,58:32:00,12,R Aarya Krishna,Offensive Duel,83,11,0,0,,,,,,,,,
Sudeva,58:35:00,12,R Aarya Krishna,Defensive Duel,68,9,0,0,,,,,,,,,
Sudeva,58:39:00,12,R Aarya Krishna,Offensive Duel,54,6,0,0,,,,,,,,,
Sudeva,58:47:00,12,R Aarya Krishna,Free Kick,71,7,63,22,,,,,,,,,
Sudeva,58:49:00,15,Pukar Dulal,Offensive Duel,57,16,0,0,,,,,,,,,
Sudeva,58:51:00,15,Pukar Dulal,Pass,63,12,55,3,,Complete,,,,,,,
Sudeva,58:52:00,6,Irfan Ahmad Mir,Pass,53,6,38,21,,Complete,,,,,,,
Sudeva,58:54:00,25,Leishangthem Donaroy Singh,Pass,35,17,53,29,,Complete,,,,,,,
Sudeva,58:56:00,7,Oinam Nirmal Meitei,Pass,51,27,38,48,,Complete,,,,,,,
