Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva Delhi FC,34:18,16,Dikshit Rai ,Pass,19,27,29,54,,Incomplete,,,,,,,
Sudeva Delhi FC,34:21,17,Heikham Lineker Singh,Offensive Duel,34,47,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,34:24,17,Heikham Lineker Singh,Offensive Duel,59,33,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,34:28,17,Heikham Lineker Singh,Pressure,104,38,0,0,,,,,,,,,
Sudeva Delhi FC,34:43,26,Loushambam Nara Meitei,Throw In,80,79,106,49,,,,,,,,,
Sudeva Delhi FC,34:44,17,Heikham Lineker Singh,Air Duel,105,56,0,0,,Lost,,,,,,,
Sudeva Delhi FC,34:53,11,Langam Ratip Meitei,Defensive Duel,17,75,0,0,,Won,,,,,,,
Sudeva Delhi FC,34:53,11,Langam Ratip Meitei,Offensive Duel,22,75,0,0,,Lost,,,,,,,
Sudeva Delhi FC,34:55,17,Heikham Lineker Singh,Defensive Duel,27,72,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,34:55,9,Asem Rahulkumar Singh,Long Kick,15,58,51,80,,,,,,true,,,
Sudeva Delhi FC,35:18,26,Loushambam Nara Meitei,Air Duel,4,42,0,0,,Won,,,,,,,
Sudeva Delhi FC,35:37,9,Asem Rahulkumar Singh,Air Duel,13,37,0,0,,Won,,,,,,,
Sudeva Delhi FC,35:38,11,Langam Ratip Meitei,Pass,15,45,9,34,,Complete,,,,,,,
Sudeva Delhi FC,35:39,16,Dikshit Rai ,Pass,11,32,13,32,,Incomplete,,,,,,,
Sudeva Delhi FC,35:46,21,Macdonnish Ngairangbam ,Goal Kick,8,43,5,53,,,,,,,,,
Sudeva Delhi FC,35:47,26,Loushambam Nara Meitei,Long Kick,4,57,41,6,,Incomplete,,,,,,,
Sudeva Delhi FC,36:04,26,Loushambam Nara Meitei,Air Duel,7,42,0,0,,Won,,,,,,,
Sudeva Delhi FC,36:06,9,Asem Rahulkumar Singh,Pass,8,31,11,30,,Incomplete,,,,,,,
Sudeva Delhi FC,36:09,9,Asem Rahulkumar Singh,Offensive Duel,40,12,0,0,,Lost,,,,,true,,
Sudeva Delhi FC,36:11,16,Dikshit Rai ,Defensive Duel,26,16,0,0,,Won,,,,,true,,
Sudeva Delhi FC,36:14,11,Langam Ratip Meitei,Interception,23,11,0,0,,,,,,,,,
Sudeva Delhi FC,36:15,11,Langam Ratip Meitei,Pass,23,14,32,5,,Complete,,,,,,,
Sudeva Delhi FC,36:18,9,Asem Rahulkumar Singh,Pass,53,4,95,10,,Incomplete,,,,,,,
Sudeva Delhi FC,36:20,11,Langam Ratip Meitei,Offensive Duel,97,10,0,0,,Won,,,,,,,
Sudeva Delhi FC,36:51,26,Loushambam Nara Meitei,Free Kick,86,11,117,49,,,,,,,,,
Sudeva Delhi FC,37:08,11,Langam Ratip Meitei,Pass,82,69,30,32,,Incomplete,,,,,,,
Sudeva Delhi FC,37:11,16,Dikshit Rai ,LBD,27,25,0,0,,Lost,,,,,,,
Sudeva Delhi FC,37:32,21,Macdonnish Ngairangbam ,Goal Kick,8,42,45,12,,,,,,,,,
Sudeva Delhi FC,37:33,9,Asem Rahulkumar Singh,LBD,48,11,0,0,,Lost,,,,,,,
Sudeva Delhi FC,37:36,9,Asem Rahulkumar Singh,Pass,32,17,17,23,,Complete,,,,,,,
Sudeva Delhi FC,37:38,16,Dikshit Rai ,Pass,8,19,8,16,,Incomplete,,,,,,,
